query_id,method,P@10,MAP,nDCG@10
1048699,BM25,0.0,0.05555555555555555,0.0
1048699,Dense,0.1,1.0,1.0
1048699,Hybrid,0.0,0.05555555555555555,0.0
1048706,BM25,0.2,1.0,1.0
1048706,Dense,0.2,0.5,0.6509209298071326
1048706,Hybrid,0.2,1.0,1.0
1048708,BM25,0.0,0.0003990422984836393,0.0
1048708,Dense,0.1,0.5,0.6309297535714575
1048708,Hybrid,0.0,0.0005521811154058532,0.0
786568,BM25,0.1,0.5,0.6309297535714575
786568,Dense,0.1,1.0,1.0
786568,Hybrid,0.1,0.5,0.6309297535714575
1048717,BM25,0.0,1.9943360855171314e-05,0.0
1048717,Dense,0.1,1.0,1.0
1048717,Hybrid,0.0,3.0901393652853744e-05,0.0
524435,BM25,0.1,1.0,1.0
524435,Dense,0.1,1.0,1.0
524435,Hybrid,0.1,1.0,1.0
1048725,BM25,0.0,0.08333333333333333,0.0
1048725,Dense,0.1,1.0,1.0
1048725,Hybrid,0.0,0.09090909090909091,0.0
1048727,BM25,0.0,0.002770083102493075,0.0
1048727,Dense,0.1,1.0,1.0
1048727,Hybrid,0.0,0.0031746031746031746,0.0
1048730,BM25,0.0,2.2112641797315526e-05,0.0
1048730,Dense,0.1,1.0,1.0
1048730,Hybrid,0.0,3.308409978164494e-05,0.0
262302,BM25,0.1,0.3333333333333333,0.5
262302,Dense,0.0,0.09090909090909091,0.0
262302,Hybrid,0.1,0.3333333333333333,0.5
